time,operators,notifySiteOps,typeOfArea,instrumentClass,siteFacilityCode,typeOfVegetation,notifyInstrumentMentor,moistureOnVegetation,vegetationConditions,surfaceSoilConditions,approximateHeightOfVegetationInsideFenceMeters,approximateHeightOfVegetationOutsideButNearFenceMeters,reportId,reportKey,reportSiteCode,reportFacilityCode,reportInstrumentClass,reportedOn,reporterId,reportStateCode,reportDataType,reportFrequencyCode,comments,landCoverType_0_1,landCoverType_0_3,heightOfVegetation_0_2,heightOfVegetation_0_4
2024-09-17 17:03:00,Eli Carle,False,Derived from Grazed Grassland ,sfccond,bnf:S20,Mostly Clumped Grass,False,Mostly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,0,1,160587,PM-2024-BNF-S20-00011,bnf,S20,sfccond,2024-09-17T20:23:31.476+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-18 16:11:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,"Lush Green, Unwilted ",Moist but Not Muddy ,.5,.5,160678,PM-2024-BNF-S40-00011,bnf,S40,sfccond,2024-09-18T17:26:27.064+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-20 15:55:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,.5,.5,160951,PM-2024-BNF-S30-00008,bnf,S30,sfccond,2024-09-20T16:00:17.445+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-23 14:41:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.5,.5,161136,PM-2024-BNF-S30-00017,bnf,S30,sfccond,2024-09-23T17:50:34.178+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-23 20:05:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,0.3,0.3,161344,PM-2024-BNF-S40-00023,bnf,S40,sfccond,2024-09-24T20:27:06.478+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-09-24 16:11:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Green W/ Brown Patches because of Hot, Dry Weather",Dry and Dusty ,0,1,161269,PM-2024-BNF-S20-00022,bnf,S20,sfccond,2024-09-24T17:49:43.746+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-09-30 18:30:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,Unanticipated Conditions - See Comments ,False,Mostly Wet Due to Rain or Dew,,Moist but Not Muddy ,0,1,162151,PM-2024-BNF-S20-00035,bnf,S20,sfccond,2024-10-02T17:58:16.591+00:00,25055,NEW,PMR,WEEKLY,no glass inside the fence,,,,
2024-10-01 16:37:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,.5,.5,162019,PM-2024-BNF-S40-00034,bnf,S40,sfccond,2024-10-01T21:31:10.025+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-01 18:46:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Slightly Wet Due to Rain or Dew,Fully Green but Noticeably Wilted ,Moist but Not Muddy ,.5,.5,162006,PM-2024-BNF-S30-00026,bnf,S30,sfccond,2024-10-01T20:19:00.017+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-07 19:42:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,1,1,162661,PM-2024-BNF-S40-00046,bnf,S40,sfccond,2024-10-07T20:47:46.555+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-08 15:54:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.5,.5,162734,PM-2024-BNF-S30-00037,bnf,S30,sfccond,2024-10-08T17:37:34.488+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-11 19:46:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Mostly Brown due to Hot, Dry Weather",Dry and Dusty ,0,1,163238,PM-2024-BNF-S20-00046,bnf,S20,sfccond,2024-10-11T20:21:33.492+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-16 16:40:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.5,.5,163633,PM-2024-BNF-S30-00046,bnf,S30,sfccond,2024-10-16T17:52:26.482+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-17 16:09:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S40,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,1,1,163793,PM-2024-BNF-S40-00058,bnf,S40,sfccond,2024-10-17T18:22:51.747+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-18 16:52:00,Eli Carle,False,Native Prairie ,sfccond,bnf:S20,Mostly Clumped Grass,False,Dry,"Lush Green, Unwilted ",Dry and Dusty ,0,.5,163974,PM-2024-BNF-S20-00058,bnf,S20,sfccond,2024-10-18T19:32:27.537+00:00,24975,NEW,PMR,WEEKLY,,,,,
2024-10-21 12:27:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S30,Mostly Clumped Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,.3048,.0508,164153,PM-2024-BNF-S30-00055,bnf,S30,sfccond,2024-10-21T20:04:46.204+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-10-22 19:40:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S20,Unanticipated Conditions - See Comments ,False,Dry,,Dry and Dusty ,0,0.55,164574,PM-2024-BNF-S20-00070,bnf,S20,sfccond,2024-10-24T19:18:35.727+00:00,25055,NEW,PMR,WEEKLY,,,,,
2024-10-25 19:50:00,Hunter Mcspadden,False,Native Prairie ,sfccond,bnf:S40,Mostly Uniform Grass,False,Dry,Fully Green but Noticeably Wilted ,Dry and Dusty ,0.254,0.254,164748,PM-2024-BNF-S40-00070,bnf,S40,sfccond,2024-10-25T20:53:58.675+00:00,25055,NEW,PMR,WEEKLY,,,,,
