time,operators,typeOfAreaSse,instrumentClass,siteFacilityCode,typeOfVegetationSse,vegetationConditionSse,moistureOnVegetationSse,surfaceSoilConditionsSse,vegetationInsideFenceEbbr,vegetationOutsideFenceEbbr,vegetationHeightInsideFenceSse,vegetationHeightOutsideFenceSse,unanticipatedVegetationConditionEc,reportId,reportKey,reportSiteCode,reportFacilityCode,reportInstrumentClass,reportedOn,reporterId,reportStateCode,reportDataType,reportFrequencyCode,rowCropsEc,winterWheatEc,mostlyBareSoilEc,vegetationHeightEc,pastureOrRangelandEc,vegetationConditionEc,winterWheatConditionEc,surfaceSoilConditionsEc,pastureOrRangelandGrassEc,moistureOnVegetationSoilEc,rowCropsTypeEc,rowCropsConditionEc,pastureOrRangelandTypeEc,comments,notifySiteOps,notifyInstrumentMentor
2020-06-01 20:55:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E38,Mostly clumped grass,"Mostly brown due to hot, dry weather",Dry,Dry and dusty,,,0.3,0.4,No,231,PM-2020-SGP-E38-00008,sgp,E38,sfccond,2020-06-04T11:19:15.374+00:00,18599,COMPLETED,PMR,BIWEEKLY,No,Yes,No,0.2,No,"Mostly brown due to hot, dry weather",Stubble after harvest,Dry and dusty,,Dry,,,,,,
2020-06-01 23:00:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E35,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.4,0.2,No,45,PM-2020-SGP-E35-00006,sgp,E35,sfccond,2020-06-01T11:35:10.995+00:00,13303,COMPLETED,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-02 21:00:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E15,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.2,,118,PM-2020-SGP-E15-00007,sgp,E15,sfccond,2020-06-03T11:07:23.879+00:00,18599,COMPLETED,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-02 22:40:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E39,Mostly clumped grass,"Lush green, unwilted",Dry,Dry and dusty,Grassy,Grassy,0.3,0.3,No,100,PM-2020-SGP-E39-00014,sgp,E39,sfccond,2020-06-02T10:47:09.867+00:00,13303,COMPLETED,PMR,BIWEEKLY,No,Yes,No,0.6,No,"Mostly brown due to hot, dry weather",Yellow but unharvested,Dry and dusty,Mostly uniform grass,Dry,,,,,,
2020-06-03 20:20:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E37,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.8,0.8,No,211,PM-2020-SGP-E37-00012,sgp,E37,sfccond,2020-06-04T10:42:23.276+00:00,18599,COMPLETED,PMR,BIWEEKLY,No,Yes,No,1.0,No,"Mostly brown due to hot, dry weather",Yellow but unharvested,Dry and dusty,Mostly clumped grass,Dry,,,Derived from grazed grasslands,,,
2020-06-03 22:45:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E40,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.4,,121,PM-2020-SGP-E40-00007,sgp,E40,sfccond,2020-06-03T11:11:21.567+00:00,13303,COMPLETED,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-04 19:50:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E36,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.2,,161,PM-2020-SGP-E36-00007,sgp,E36,sfccond,2020-06-04T09:58:03.249+00:00,18599,COMPLETED,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-04 20:30:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E13,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.3,,176,PM-2020-SGP-E13-00018,sgp,E13,sfccond,2020-06-04T10:21:39.709+00:00,13303,COMPLETED,PMR,BIWEEKLY,,,,,,,,,,,,,,,,
2020-06-04 23:36:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E14,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.1,0.1,No,197,PM-2020-SGP-E14-00004,sgp,E14,sfccond,2020-06-04T10:31:42.957+00:00,13303,COMPLETED,PMR,BIWEEKLY,Yes,No,No,0.2,No,"Lush green, unwilted",,Dry and dusty,,Dry,Alfalfa,"Green, ground covered",,,,
2020-06-08 19:55:00,Bryan Williams,Derived from grazed grasslands,sfccond,sgp:E41,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,,,0.5,0.3,No,377,PM-2020-SGP-E41-00010,sgp,E41,sfccond,2020-06-08T09:12:07.706+00:00,18599,COMPLETED,PMR,BIWEEKLY,No,No,Yes,0.2,Yes,"Green with brown patches because of hot, dry weather",,Dry and dusty,Mostly clumped grass,Dry,,,Derived from grazed grasslands,,,
2020-06-08 22:45:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E31,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.5,0.5,No,387,PM-2020-SGP-E31-00008,sgp,E31,sfccond,2020-06-08T11:42:00.257+00:00,13303,COMPLETED,PMR,BIWEEKLY,Yes,No,Yes,0.1,No,"Lush green, unwilted",,Dry and dusty,,Dry,Soybeans,Partial soil coverage because plants are small,,,,
2020-06-09 15:45:00,Jim Stow,Derived from grazed grasslands,sfccond,sgp:E11,Mostly clumped grass,"Green w/brown patches because of hot, dry weather",Dry,Dry and dusty,Grassy,Grassy,0.3,0.2,No,433,PM-2020-SGP-E11-00007,sgp,E11,sfccond,2020-06-09T12:05:44.039+00:00,13303,COMPLETED,PMR,BIWEEKLY,,,,,No,,,,,,,,,,,
